BaselineCommit,Source,Line,MissedInstructions,CoveredInstructionsOnLine,Disposition,Risk,Rationale
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersExchangeProtectedPaths.ps1,59,1,0,existing-contract,medium,Null metadata shares the incomplete-protection result with blank metadata; PreviewAllowlist.Tests.ps1 and CoverageEdges.Tests.ps1 verify Unknown and malformed-path rejection.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,164,1,0,new-regression,high,"TempFailureBranches.Tests.ps1: inaccessible queued child fails discovery, preserves files and releases held ancestors."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,165,1,0,new-regression,high,"TempFailureBranches.Tests.ps1: inaccessible queued child fails discovery, preserves files and releases held ancestors."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,235,1,0,defensive-lab,high,Held native directory handles and required plan entries prevent ordinary substitution; adversarial identity changes require TC-003/004 disposable concurrency labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,240,1,0,defensive-only,low,Local handle ownership transfers to HeldDirectoryHandles before later operations; outer catch disposes retained handles. No artificial allocation failure test.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,270,1,0,existing-contract,high,Pruning identity-capture exception variants; CoverageEdges.Tests.ps1 parent-identity failure and new queued-identity failure cover fail-closed discovery and handle release without testing only error wording.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,271,1,0,existing-contract,high,Pruning identity-capture exception variants; CoverageEdges.Tests.ps1 parent-identity failure and new queued-identity failure cover fail-closed discovery and handle release without testing only error wording.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,280,1,0,existing-contract,high,Pruning identity-capture exception variants; CoverageEdges.Tests.ps1 parent-identity failure and new queued-identity failure cover fail-closed discovery and handle release without testing only error wording.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,281,1,0,existing-contract,high,Pruning identity-capture exception variants; CoverageEdges.Tests.ps1 parent-identity failure and new queued-identity failure cover fail-closed discovery and handle release without testing only error wording.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersTempPlan.ps1,288,1,0,defensive-lab,high,Held native directory handles and required plan entries prevent ordinary substitution; adversarial identity changes require TC-003/004 disposable concurrency labs.
